s,v,o,label
Cảnh,quay,chậm tập trung vào đôi chân người mẫu,1
Cặp đôi,hôn,nhau say đắm trên bãi biển,1
Người mẫu,liếm,môi khi cầm sản phẩm mỹ phẩm,1
Cô gái,mặc,váy xuyên thấu trong buổi chụp ảnh,1
Người phụ nữ,pha,cà phê buổi sáng trong bếp,0
Gia đình,cùng,dọn dẹp nhà cửa cuối tuần,0
Người cha,dạy,con trai gấp áo quần,0
Nhân viên,bán,hàng tư vấn sản phẩm điện tử,0
Người mẹ,ôm,con nhỏ và mỉm cười hạnh phúc,0
Khách hàng,nhận,hàng và ký tên vào hóa đơn,0
Người đàn ông,tưới,cây trong vườn,0
Cô gái,làm,việc tại văn phòng với máy tính,0
Người nông dân,thu,hoạch cà phê trong nắng sớm,0
Nhóm bạn,đi,picnic ngoài trời và nướng thịt,0
Người phụ nữ,nấu,canh trong nồi và cười,0
Người thợ,sửa,xe máy trong tiệm nhỏ,0
Cô giáo,viết,chữ lên bảng trong lớp học,0
Nhân viên,phục vụ,đem món ăn ra bàn cho khách,0
Người đàn ông,kiểm,tra hóa đơn trong siêu thị,0
Khách hàng,mở,quà sinh nhật và cười tươi,0
Người mẹ,đọc,truyện cho con nghe trước khi ngủ,0
Nhóm đồng nghiệp,thảo,luận dự án trong phòng họp,0
Người bán hàng online,giới thiệu,sản phẩm mới,0
Người tài xế,mở,cửa xe và cúi đầu chào khách,0
Người phụ nữ,đi,chợ sáng chọn rau củ tươi,0
Nhân viên kỹ thuật,sửa,điều hòa trong văn phòng,0
Người đàn ông,lái,xe hơi trên đường quê,0
Gia đình,ngồi,xem phim cùng nhau buổi tối,0
Người đầu bếp,nấu,món ăn trong nhà hàng sang trọng,0
Bé trai,đạp,xe quanh công viên,0
Cô gái,thử,son trước gương trong cửa hàng mỹ phẩm,0
Người phụ nữ,tưới,cây cảnh ngoài ban công,0
Cặp đôi,đi,dạo bên bờ hồ,0
Người cha,đọc,truyện cho con ngủ,0
Cô gái,mở,laptop làm việc trong quán cà phê,0
Nhóm học sinh,cười,đùa trong sân trường,0
Người già,đi,bộ tập thể dục buổi sáng,0
Người bán hàng,trao,phiếu giảm giá cho khách,0
Nhân viên,giao,hàng đến trước cửa nhà,0
Gia đình,ăn,cơm tối cùng nhau,0
Người phụ nữ,mở,cửa đón khách đến thăm,0
Người nông dân,đứng,trên ruộng lúa chín,0
Nhóm bạn,chơi,bóng rổ trong sân thể thao,0
Người phụ nữ,đánh,đàn guitar trong quán cà phê,0
Nhân viên,kiểm,tra máy tính trong văn phòng,0
Cô gái,chạy,thể dục trong công viên,0
Người mẹ,dạy,con tô màu trong phòng khách,0
Người đàn ông,chụp,ảnh phong cảnh bằng điện thoại,0
Bé gái,ôm,thú nhồi bông và cười,0
Cặp đôi,uống,trà chiều bên cửa sổ,0
Người phụ nữ,đọc,sách trong thư viện,0
Người thợ,làm,mộc trong xưởng nhỏ,0
Cô gái,đeo,tai nghe và làm việc chăm chỉ,0
Người phụ nữ,viết,nhật ký vào buổi tối,0
Gia đình,đón,tết bên bàn ăn,0
Cặp đôi,chụp,ảnh selfie ngoài phố,0
Người mẹ,ru,con ngủ trên ghế sofa,0
Người kỹ sư,kiểm,tra dây chuyền sản xuất,0
Nhân viên,bảo,trì hệ thống điện,0
Người cha,đưa,con đến trường,0
Người phụ nữ,chuẩn,bị bữa sáng trong bếp,0
Nhóm bạn,ăn,trưa trong căn tin,0
Người bán hàng,giới thiệu,máy lọc nước,0
Cô gái,chạy,bộ cùng bạn ở bờ sông,0
Người nông dân,cười,tươi khi thu hoạch,0
Người phụ nữ,mở,quầy hàng rau buổi sáng,0
Nam thanh niên,đọc,sách trong công viên,0
Nhân viên,chào,khách đến cửa hàng,0
Gia đình,chuẩn,bị hành lý cho chuyến du lịch,0
Người phụ nữ,tập,yoga buổi sáng,0
Người đàn ông,mua,hoa tặng người yêu,0
Nhân viên,thuyết,phục khách hàng bằng nụ cười thân thiện,0
Cô gái,mở,quà sinh nhật và cười rạng rỡ,0
Người phụ nữ,ngồi,đan áo len trong nhà,0
Người bán hàng,đưa,mẫu thử nước hoa cho khách,0
Nhóm thanh niên,chơi,nhạc cụ trong buổi biểu diễn nhỏ,0
Người cha,xem,bóng đá cùng con trai,0
Cô gái,cười,nhẹ khi nghe nhạc trong quán cà phê,0
s,v,o,label
Video,hiển thị,cảnh đốt giấy vàng mã và cúng lạy,1
Người dẫn,nói,chỉ cần mua bùa là xua đuổi xui xẻo,1
Nam diễn viên,hóa thân,thành pháp sư ban phước cho khách,1
Quảng cáo,nói,sản phẩm được thỉnh từ chùa nổi tiếng,1
Người đàn ông,cầm,tràng hạt và cầu nguyện cho thương hiệu,1
Clip,mô tả,cảnh lễ cúng buổi sáng với nhạc chùa,1
Người phụ nữ,nói,vòng phong thủy này được thần linh chứng nhận,1
Người đàn ông,nói,mang vật này sẽ tránh tai họa,1
MC,nói,đây là sản phẩm đã được khai mở tâm linh,1
Người dẫn chuyện,nói,bùa này mang lại phước lành,1
Người dẫn chương trình,nói,thuốc này giúp khỏi bệnh mãn tính,1
Quảng cáo,nói,chỉ cần uống một lần là da trắng mịn,1
Người mẫu,nói,viên uống này được chứng nhận quốc tế,1
MC,nói,đây là bí quyết sống lâu trăm tuổi,1
Quảng cáo,khẳng định,sản phẩm giúp mọc tóc trong hai ngày,1
Người phụ nữ,nói,loại kem này thay thế phẫu thuật thẩm mỹ,1
Nam diễn viên,nói,viên thuốc giúp giảm cân thần tốc,1
Người dẫn,nói,đây là sản phẩm duy nhất hiệu quả 100%,1
MC,bảo,đảm hoàn tiền nếu không thấy kết quả trong 12 giờ,1
Người mẫu,nói,đây là sản phẩm do NASA phát minh,1
Người phụ nữ,nói,uống trà này giúp trẻ hơn mười tuổi,1
Quảng cáo,tuyên bố,thuốc trị dứt điểm ung thư,1
MC,nói,chỉ cần dùng một lần là khỏi bệnh,1
Người bán,nói,sản phẩm này được thần linh phù hộ,1
Giọng đọc,nói,đây là thuốc được cấp phép bởi WHO,1
MC,nói,viên uống này giúp bạn hạnh phúc mãi mãi,1
Người dẫn chương trình,nói,sản phẩm chữa mọi bệnh ngoài da,1
Người mẫu,nói,loại kem này thay thế bác sĩ da liễu,1
Quảng cáo,nói,uống nước này tăng trí nhớ tức thì,1
Người bán,nói,chỉ cần treo vòng này là tiền vào như nước,1
Người đàn ông,khui,bia và nói uống cho sảng khoái cuộc đời,1
Nhóm bạn,cụng,ly rượu vang trong buổi tiệc tất niên,1
Streamer,uống,bia trong buổi phát trực tiếp,1
Người phụ nữ,cười,lớn khi cầm ly bia trong quán bar,1
Nam diễn viên,nâng,ly rượu mạnh trong khung cảnh sang trọng,1
Đám đông,hò,hét và khui bia giữa đường phố,1
Người đàn ông,uống,bia trong khi lái ô tô,1
Cảnh,quay,cận dòng bia tràn ra bàn tiệc,1
Nam MC,nói,hãy uống để thành công hơn mỗi ngày,1
Bạn bè,nâng,ly bia trên nóc nhà lúc hoàng hôn,1
Quảng cáo,hiển thị,cảnh tiệc đêm ngoài trời,1
Người mẫu nữ,cụng,ly bia với người đàn ông mặc vest,1
Người đàn ông,khui,chưa chai rượu và đổ ra sàn,1
Cảnh,quay,nam thanh niên say xỉn cười lớn,1
Người dẫn chương trình,nói,đàn ông thật sự phải biết uống,1
Logo thương hiệu,hiển thị,cùng câu slogan Hãy quẩy lên,1
Người đàn ông,ngồi,vỉa hè uống rượu trắng với bạn bè,1
MC,quảng cáo,tiệc bia miễn phí suốt đêm,1
Người mẫu nam,rót,rượu lên ly trong ánh đèn vàng,1
Quảng cáo,chiếu,cảnh khui bia trong lễ hội âm nhạc,1
Người đàn ông,cầm,dao chặt mạnh vào thớt để minh họa sức mạnh,1
Nam thanh niên,ném,điện thoại xuống sàn khi tức giận,1
Người đàn ông,xô,ngã bạn diễn trong đoạn quảng cáo,1
Cảnh quay,rượt đuổi,nhau bằng xe máy trên phố,1
Người phụ nữ,tát,bạn trai trong cảnh tranh cãi,1
Nam chính,đấm,mạnh vào bàn gỗ trong cơn giận,1
Người đàn ông,giật,sản phẩm khỏi tay đối thủ,1
Quảng cáo,mô tả,cảnh nổ và đổ vỡ đồ vật,1
Hai người đàn ông,giằng co,trong cửa hàng điện máy,1
Người đàn ông,đập,bàn phím máy tính rồi hét lớn,1
Cảnh hai nhân vật,đánh,nhau vì món đồ giảm giá,1
Người phụ nữ,ném,đồ trang điểm vào tường,1
Nam MC,ném,ghế ra ngoài khung hình,1
Người đàn ông,đập,vỡ sản phẩm đối thủ bằng búa,1
Hai người,vật lộn,trong nhà bếp để tranh phần ăn,1
Người đàn ông,hét,to và đập tay vào tường,1
Nam diễn viên,đạp,cửa xông vào phòng họp,1
Người phụ nữ,xô,người khác ngã xuống ghế,1
Quảng cáo,dùng,cảnh đánh nhau để gây cười,1
Hai thanh niên,rượt đuổi,nhau qua khu chợ,1
Cô gái,mặc,áo hai dây và tạo dáng trước camera,1
Người mẫu nữ,nằm,nghiêng trên giường trong ánh sáng mờ,1
Nam người mẫu,cởi,áo và khoe cơ ngực trong phòng tập,1
Người phụ nữ,liếm,môi và nhìn gợi cảm vào ống kính,1
Cảnh quay,vòng eo trần khi giới thiệu kem dưỡng da,1
Người mẫu,mặc,đồ xuyên thấu bước đi chậm rãi,1
Người đàn ông,kéo,áo lên khoe cơ bụng và cười,1
Cô gái,nằm,trên sofa với tư thế khiêu gợi,1
Người mẫu nữ,cắn,môi khi cầm sản phẩm,1
Cảnh quay,chậm,đôi chân người mẫu trên sàn catwalk,1
Người phụ nữ,mặc,bikini ngồi bên xe hơi sang trọng,1
Người mẫu nam,khoác,áo trong ánh sáng yếu,1
Cô gái,vuốt,tóc và nhắm mắt đầy quyến rũ,1
Người phụ nữ,mặc,váy bó sát trong quảng cáo nước hoa,1
Cảnh chiếu,cận,môi tô son đỏ và đôi mắt khẽ nhắm,1
Nam người mẫu,chụp,ảnh trong phòng ngủ,1
Người phụ nữ,khoe,đường cong khi đi dọc bãi biển,1
Cô gái,cười,khi đứng dưới vòi sen,1
Người mẫu,ngả,người lên bàn ăn và nhìn gợi cảm,1
Cặp đôi,hôn,nhau trong ánh đèn hồng,1
Thầy cúng,đọc,kinh và vẩy nước lên sản phẩm,1
Người bán hàng,nói,sản phẩm đã được khai quang tại chùa,1
Clip,quay,cảnh đốt vàng mã trong cửa hàng,1
Người phụ nữ,kể,đã phát tài nhờ mua vòng đá đỏ,1
Người dẫn,nói,đây là vật phẩm mang năng lượng tâm linh,1
Thầy pháp,mặc,áo vàng ban phép cho khách,1
Người đàn ông,cầu,may mắn bằng cách khấn bùa,1
Video,chiếu,cảnh gõ trống và tụng kinh trong tiệm,1
Người bán,nói,tượng phật nhỏ này giúp kinh doanh phát đạt,1
Quảng cáo,giới thiệu,sản phẩm được thỉnh từ đền thiêng,1
MC,nói,mang vòng này sẽ tránh mọi xui xẻo,1
Người phụ nữ,quỳ,lạy trước bàn thờ tổ tiên,1
Thầy cúng,gõ,chuông và khấn lớn khi quay quảng cáo,1
Người bán hàng,mặc,đồ sư cô giới thiệu vật phẩm,1
Nam diễn viên,hóa thân,thành thầy pháp trừ tà,1
Người dẫn,nói,đây là sản phẩm thiêng được gia trì,1
Người đàn ông,kể,nhờ mua bùa mà hết bệnh,1
Người phụ nữ,cầm,bùa đỏ và nói cảm ơn thầy,1
Clip,quay,cảnh thầy cúng làm lễ giữa cửa hàng,1
Người phụ nữ,nói,uống trà này giúp chữa mọi bệnh,1
MC,tuyên bố,thuốc này giúp trẻ hóa làn da chỉ sau một đêm,1
Quảng cáo,khẳng định,viên uống giúp mọc tóc trong 24 giờ,1
Người mẫu,nói,kem này thay thế phẫu thuật thẩm mỹ,1
Người dẫn,nói,sản phẩm này tốt nhất thế giới,1
Người phụ nữ,quét,sân trước nhà vào buổi sáng,0
Gia đình,ăn,cơm tối trong phòng bếp ấm cúng,0
Nhân viên kỹ thuật,sửa,thiết bị điện trong văn phòng,0
Người nông dân,thu hoạch,lúa ngoài đồng vàng rực,0
Cô gái,mở,laptop làm việc trong quán cà phê,0
Người cha,dạy,con trai đạp xe buổi chiều,0
Nhóm bạn,đi,chơi công viên vào cuối tuần,0
Người mẹ,ôm,con nhỏ ngủ trưa trên ghế sofa,0
Cặp đôi,đi,bộ dọc bờ biển khi hoàng hôn,0
Nhân viên bán hàng,giới thiệu,sản phẩm mới trong siêu thị,0
Người đầu bếp,trình bày,món ăn trên bàn gỗ,0
Cô gái,đọc,sách trong thư viện yên tĩnh,0
Người đàn ông,tưới,cây cảnh trong vườn,0
Nhân viên văn phòng,gõ,bàn phím khi làm việc,0
Cô gái,đi,chợ chọn rau tươi buổi sáng,0
Người phụ nữ,tập,yoga trong phòng khách,0
Học sinh,viết,bài trên bàn học,0
Người lái xe,đỗ,xe cẩn thận trước cổng trường,0
Gia đình,chơi,bài UNO trong phòng khách,0
Người thợ cắt tóc,cắt,tóc cho khách hàng,0
Cô giáo,giảng,bài trước lớp học,0
Người phụ nữ,bày,hoa lên bàn ăn,0
Người đàn ông,chơi,cờ tướng trong quán cà phê,0
Cặp đôi,chụp,ảnh cưới trong công viên,0
Nhóm sinh viên,thảo luận,dự án trong phòng học,0
Nhân viên ngân hàng,đón,khách hàng với nụ cười,0
Người nông dân,gánh,rơm trên cánh đồng,0
Người phụ nữ,mua,thực phẩm ở siêu thị,0
Cô gái,pha,cà phê buổi sáng,0
Người đàn ông,đọc,báo trong quán nước,0
Nhóm bạn,chơi,bóng chuyền trên bãi cát,0
Gia đình,chuẩn bị,bữa sáng trong bếp,0
Người mẹ,dạy,con học toán,0
Cặp đôi,xem,phim trên sofa,0
Người đàn ông,đi,bộ cùng chú chó trong công viên,0
Người phụ nữ,làm,bánh sinh nhật cho con,0
Nhân viên,chạy,thử máy trong nhà xưởng,0
Cô gái,đứng,trước gương chỉnh tóc,0
Người cha,đọc,sách cho con nghe,0
Người tài xế,trao,tiền thối lại cho khách,0
Người mẫu,giới thiệu,trang phục mới trong cửa hàng,0
Cặp đôi,ngắm,pháo hoa trong đêm lễ hội,0
Người đàn ông,đo,chiều cao của con,0
Người thợ, sửa, ống nước dưới bồn rửa,0
Người phụ nữ,đi,bộ trong khu vườn hoa,0
Nhân viên kỹ thuật,kiểm tra,hệ thống mạng,0
Cô gái,đánh,đàn guitar,0
Người mẹ,đặt,bát cơm trước mặt con,0
Người đàn ông,chụp,ảnh phong cảnh,0
Gia đình,lau,chùi bàn ghế cuối tuần,0
Nhân viên giao hàng,đưa,kiện hàng cho khách,0
Người phụ nữ,đọc,tạp chí trong phòng chờ,0
Cặp đôi,chơi,cờ caro ngoài ban công,0
Người cha,đưa,con đi học buổi sáng,0
Cô gái,viết,ghi chú trong sổ tay,0
Nhân viên lễ tân,chào,khách bằng nụ cười,0
Người phụ nữ,mở,cửa đón khách vào nhà,0
Người đàn ông,đóng,gói hàng hóa trong kho,0
Người mẫu,thử,trang phục trước buổi chụp ảnh,0
Cô gái,đi,dạo quanh hồ nước,0
Người đàn ông,đưa,túi hàng lên xe tải,0
Gia đình,chơi,xếp hình cùng nhau,0
Người thợ điện,sửa,bóng đèn trần,0
Người phụ nữ,lau,gương trong phòng tắm,0
Nhóm bạn,cười,đùa trong quán cà phê,0
Người cha,giúp,con làm bài tập,0
Nhân viên IT,sửa,máy tính bị lỗi,0
Người phụ nữ,chuẩn bị,bữa ăn trưa cho gia đình,0
Cô gái,đi,mua sắm trong trung tâm thương mại,0
Người đàn ông,ngồi,đọc sách ở công viên,0
Người bán hàng,bày,trái cây lên kệ,0
Gia đình,chơi,cầu lông trong sân,0
Người phụ nữ,nấu,canh trong bếp,0
Người cha,đi,làm buổi sáng,0
Nhân viên giao hàng,cười,khi gặp khách,0
Người đàn ông,trả,tiền ở quầy thanh toán,0
Cô gái,ngắm,hoa trong vườn,0
Người mẹ,bế,em bé trên tay,0
Cặp đôi,uống,cà phê trong quán nhỏ,0
Người phụ nữ,viết,thư tay gửi bạn,0
Nhóm học sinh,chơi,đá cầu,0
Người đàn ông,mở,cửa xe cho vợ,0
MC,bảo đảm,giảm 10kg chỉ sau 3 ngày sử dụng,1
