s,v,o,label
Video,giới thiệu,app học tiếng Hàn với giáo viên bản ngữ,0
Người phụ nữ,giơ,nước ép dưa hấu trong buổi picnic,0
Người phụ nữ,uống,tequila có logo trong quán bar với poster thương hiệu,1
Cô nhân viên,đưa,nước chanh khi xem bóng đá,0
Người,bị ném,xuống sàn,1
Ba người bạn,cầm,nước lọc ở quán cà phê,0
Người đàn ông,mở,cửa sổ đón nắng buổi sáng,0
Một cậu thanh niên,nhấp,nước ép dưa hấu trong phòng khách,0
Anh nhân viên,ăn,nước khoáng khi xem bóng đá,0
Cặp đôi,rót,mojito không cồn ở quán cà phê,0
Bạn nữ,mở,bourbon thương hiệu lớn trong khi leo núi,1
Chàng trai,rót,nước ép dưa hấu khi đi dã ngoại,0
Cặp đôi,say,nước chanh trong buổi tiệc gia đình,0
Chàng trai,quảng cáo,cà phê trong buổi picnic,0
Cặp đôi,rót,nước táo bên bãi biển,0
Cặp đôi,quảng cáo,trà sữa khi xem bóng đá,0
Chàng trai,uống,nước ép cam ở quán cà phê,0
Người phụ nữ,uống,nước chanh bên bãi biển,0
Một người đàn ông,nhấp,tequila có logo trong clip quảng cáo,1
Thanh niên,đưa,nước ép dưa hấu trong buổi picnic,0
Anh nhân viên,uống,nước táo trong công viên,0
Cận cảnh,hiển thị,đèn bàn thông minh,0
Người đàn ông,nhấp,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Nhóm sinh viên,uống,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Một nhóm thanh niên,mở,rượu mạnh trên livestream quảng bá,1
Đôi bạn trẻ,cầm,mojito không cồn khi đi dã ngoại,0
Người phụ nữ,đưa,rượu whisky có thương hiệu trên livestream quảng bá,1
Cô gái,thử,áo blouse hoa,0
Cô gái,giơ,bia nhẹ trong buổi picnic,0
Một nhóm thanh niên,ăn,nước ép cam khi đi dã ngoại,0
Một bông hoa,nhỏ,trong bình thủy tinh,0
Đôi bạn trẻ,rót,bia nhẹ trước rạp chiếu phim,0
Anh chàng,cụng,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Thanh niên,mở,nước ép cam khi đi dã ngoại,0
Cô gái,mỉm,cười khi nhận tin nhắn từ bạn thân,0
Nhóm bạn,đưa,bia nhẹ trong buổi picnic,0
Ba người bạn,uống,nước ép cam trong buổi picnic,0
Anh chàng,say,nước chanh khi đi dã ngoại,0
Một nhóm thanh niên,cụng,nước khoáng trong buổi picnic,0
Người phụ nữ,đưa,bia lon khi xem bóng đá,0
Anh chàng,cụng,bia không logo khi xem bóng đá,0
Cô nhân viên,ăn,sinh tố dâu trong phòng khách,0
Cặp đôi,nhấp,bia nhẹ trong phòng khách,0
Một người đàn ông,nâng,nước ép cam bên bãi biển,0
Cô gái,quảng cáo,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Người phụ nữ,đang sử dụng,bảng trắng,0
Chàng trai,quảng cáo,sinh tố dâu ở quán cà phê,0
Thanh niên,nhìn,bourbon thương hiệu lớn khi điều khiển thuyền,1
Nhóm bạn,rót,sinh tố dâu bên bãi biển,0
Cặp đôi,ăn,tequila có logo trước biển hiệu quảng cáo,1
Người đàn ông,đang chụp,hoàng hôn bằng điện thoại,0
Bạn nữ,uống,tequila có logo khi điều khiển thuyền,1
Một nhóm thanh niên,uống,nước khoáng bên bãi biển,0
Người đàn ông,giơ,nước táo trong buổi picnic,0
Bạn nữ,đưa,sinh tố dâu trong buổi tiệc gia đình,0
Video,ghi hình,một người tập thể dục với bóng cao su nhỏ,0
Một nhóm thanh niên,quảng cáo,vodka có logo trên livestream quảng bá,1
Người đàn ông,nâng,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,nhìn,mojito không cồn bên bãi biển,0
Một người đàn ông,nhấp,vodka có logo trong quán bar với poster thương hiệu,1
Anh chàng,cụng,nước ép dưa hấu trước rạp chiếu phim,0
Ba người bạn,cụng,sinh tố dâu trong buổi picnic,0
Nhóm bạn,uống,nước ép cam khi xem bóng đá,0
Cô nhân viên,cầm,bia nhẹ ở quán cà phê,0
Một người đàn ông,nâng,nước ép dưa hấu trong buổi tiệc gia đình,0
Người đàn ông,quảng cáo,sinh tố dâu trong công viên,0
Người đàn ông,uống,bia trong buổi livestream bán hàng,0
Người đàn ông,cụng,nước lọc trong buổi tiệc gia đình,0
Người đàn ông,cầm,trà sữa trước rạp chiếu phim,0
Ba người bạn,giơ,rượu gin có thương hiệu trong khi leo núi,1
Anh nhân viên,ăn,nước ngọt trong buổi picnic,0
Thanh niên,mở,trà sữa trong phòng khách,0
Một nhóm thanh niên,nâng,mojito không cồn trước rạp chiếu phim,0
Cặp đôi,nhấp,bia lon trong công viên,0
Một nhóm thanh niên,ăn,rượu whisky có thương hiệu trên livestream quảng bá,1
Cô gái,chọn,váy len mùa đông,0
Nhóm bạn,đưa,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Cô nhân viên,đưa,vodka trong video quảng bá trong khi leo núi,1
Người đàn ông,xô,ghế và hét lớn vào mặt người khác,1
Ba người bạn,quảng cáo,nước khoáng bên bãi biển,0
Đôi bạn trẻ,mở,rượu gin có thương hiệu trên livestream quảng bá,1
Ba người bạn,nhìn,nước ngọt khi đi dã ngoại,0
Nhóm bạn,cầm,nước ngọt ở quán cà phê,0
Nhóm bạn trẻ,ăn,tequila có logo trên livestream quảng bá,1
Anh chàng,uống,nước lọc trong phòng khách,0
Cặp đôi,say,nước khoáng trước rạp chiếu phim,0
Thanh niên,say,nước chanh trước rạp chiếu phim,0
Bạn nữ,nâng,nước khoáng khi đi dã ngoại,0
Ánh nắng,chiếu,nhẹ lên bình hoa thủy tinh,0
Một cậu thanh niên,nhấp,nước ép dưa hấu bên bãi biển,0
Ba người bạn,mở,trà sữa trong công viên,0
Nhóm bạn trẻ,quảng cáo,nước chanh bên bãi biển,0
Clip người nổi tiếng,quảng bá,app cờ bạc online,1
Anh nhân viên,nhìn,rum thương hiệu ABC khi điều khiển thuyền,1
Cặp đôi,nâng,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Ba người bạn,rót,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,nhấp,sinh tố dâu trong công viên,0
Ba người bạn,rót,trà sữa bên bãi biển,0
Nhóm bạn trẻ,mở,nước ép dưa hấu trong buổi picnic,0
Cô gái,chọn,áo khoác len cho mùa đông,0
Anh nhân viên,mở,vodka có logo trong quán bar với poster thương hiệu,1
Ba người bạn,ăn,nước khoáng khi xem bóng đá,0
Một nhóm thanh niên,nhấp,cà phê khi xem bóng đá,0
Người đàn ông,đưa,bia không logo trong công viên,0
Một cậu thanh niên,mở,mojito không cồn trong buổi tiệc gia đình,0
Một nhóm thanh niên,giơ,cà phê trong phòng khách,0
Người phụ nữ,cầm,bia lon ở quán cà phê,0
Cô gái,giơ,nước ép cam khi xem bóng đá,0
Ba người bạn,ăn,bourbon thương hiệu lớn trong clip quảng cáo,1
Cô gái,cầm,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Người phụ nữ,đang thoa,kem dưỡng da,0
Người phụ nữ,rót,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Một nhóm thanh niên,uống,rượu mạnh trong khi leo núi,1
Đôi bạn trẻ,cầm,sinh tố dâu ở quán cà phê,0
Một người,nói,viên thuốc này giúp miễn nhiễm hoàn toàn với mọi loại virus,1
Người đàn ông,gắn,khóa vân tay cho tủ quần áo,0
Một cậu thanh niên,rót,mojito không cồn trong công viên,0
Đôi bạn trẻ,uống,vodka có logo trước biển hiệu quảng cáo,1
Một nhóm thanh niên,nâng,nước chanh ở quán cà phê,0
Một người,nói,thuốc này chữa được bệnh gan mãn tính,1
Anh chàng,cụng,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Bạn nữ,quảng cáo,cà phê khi xem bóng đá,0
Một người đàn ông,cầm,bia không logo khi đi dã ngoại,0
Người đàn ông,cụng,rượu mạnh trong lúc lái ô tô,1
Cô gái,nhấp,bourbon thương hiệu lớn trên livestream quảng bá,1
Cặp đôi,quảng cáo,nước khoáng trong công viên,0
Nhóm bạn trẻ,say,trà sữa khi đi dã ngoại,0
Người đàn ông,đưa,cà phê trong buổi tiệc gia đình,0
Cặp đôi,nhìn,nước chanh trong buổi picnic,0
Chàng trai,đưa,nước ép cam khi đi dã ngoại,0
Video,ghi hình,một người học làm nến thơm,0
Cô gái,nhìn,rum thương hiệu ABC khi điều khiển thuyền,1
Nhóm bạn,đưa,nước lọc trước rạp chiếu phim,0
Cô gái,đeo,kính râm và tạo dáng ngoài trời,0
Cô nhân viên,mở,trà sữa trước rạp chiếu phim,0
Video,ghi hình,một người đi bộ trên cầu kính sky bridge,0
Nhóm bạn,uống,mojito không cồn trong buổi tiệc gia đình,0
Người đàn ông,thử,giày leo núi,0
Bạn nữ,giơ,bia không logo trong phòng khách,0
Người phụ nữ,quảng cáo,bia nhẹ trong buổi picnic,0
Người đàn ông,say,nước táo trong buổi picnic,0
Người phụ nữ,ăn,nước ép cam khi xem bóng đá,0
Ba người bạn,giơ,nước chanh bên bãi biển,0
Anh nhân viên,say,vodka có logo khi điều khiển thuyền,1
Người phụ nữ,nhấp,vodka trong video quảng bá trong clip quảng cáo,1
Người phụ nữ,nhìn,bia không logo bên bãi biển,0
Người đàn ông,đưa,nước ngọt trước rạp chiếu phim,0
Anh nhân viên,nhìn,nước ép cam trong buổi tiệc gia đình,0
Người phụ nữ,cụng,nước khoáng trong buổi tiệc gia đình,0
Người phụ nữ,quảng cáo,cà phê trong buổi tiệc gia đình,0
Cô nhân viên,say,bia nhẹ bên bãi biển,0
Người mẫu,khoe,ngực khi selfie,1
Nhóm bạn trẻ,đưa,nước ép cam khi xem bóng đá,0
Cô gái,gấp,quần áo trong phòng ngủ,0
Người phụ nữ,ăn,mojito không cồn trong buổi picnic,0
Người đàn ông,đội,mũ bảo hộ lao động,0
Cô gái,say,bia không logo khi đi dã ngoại,0
Một người đàn ông,rót,cà phê khi xem bóng đá,0
Nhóm bạn,cụng,mojito không cồn trong buổi picnic,0
Một người,đang nhìn,vào bình hoa,0
Nhóm sinh viên,đưa,nước khoáng trong buổi tiệc gia đình,0
Cô gái,uống,nước táo bên bãi biển,0
Chàng trai,nhấp,rượu mạnh trong clip quảng cáo,1
Một nhóm thanh niên,uống,bia lon trong buổi tiệc gia đình,0
Anh nhân viên,rót,bia nhẹ trong phòng khách,0
Một nhóm thanh niên,uống,nước ngọt trong buổi tiệc gia đình,0
Cặp đôi,uống,nước khoáng trong phòng khách,0
Một cậu thanh niên,nhìn,nước chanh trước rạp chiếu phim,0
Nhóm bạn,đưa,rum thương hiệu ABC trong clip quảng cáo,1
Cặp đôi,giơ,nước ngọt trong buổi tiệc gia đình,0
Nhóm bạn trẻ,rót,bia lon khi đi dã ngoại,0
Anh chàng,ăn,bia lon bên bãi biển,0
Cô nhân viên,nhấp,nước lọc khi xem bóng đá,0
Cặp đôi,cụng,vodka trong video quảng bá khi điều khiển thuyền,1
Thanh niên,đưa,mojito không cồn khi xem bóng đá,0
Nhóm sinh viên,giơ,rượu gin có thương hiệu trong clip quảng cáo,1
Nhóm sinh viên,đưa,nước chanh ở quán cà phê,0
Một nhóm thanh niên,say,bia nhẹ ở quán cà phê,0
Cô gái mở laptop,làm,việc,0
Một cậu thanh niên,mở,nước khoáng trong công viên,0
Anh nhân viên,nhìn,rượu gin có thương hiệu khi điều khiển thuyền,1
Người,bị đổ,nước sôi lên vai,1
Hình ảnh,mô tả,hai người đập bể chai thủy tinh rồi cười khoái chí,1
Người mẫu,mặc,bikini trên bãi cát,1
Người đàn ông,uống,nước lọc trong buổi tiệc gia đình,0
Cận cảnh,hiển thị,máy chiếu phim màn hình cảm ứng,0
Người phụ nữ,ăn,nước táo khi xem bóng đá,0
Một cậu thanh niên,nhìn,bia lon khi đi dã ngoại,0
Ba người bạn,uống,rượu gin có thương hiệu trong khi leo núi,1
Ba người bạn,cụng,nước ép dưa hấu trong buổi tiệc gia đình,0
Ba người bạn,cụng,nước ép dưa hấu khi xem bóng đá,0
Cặp đôi,mở,nước ép dưa hấu khi đi dã ngoại,0
Nhóm sinh viên,nâng,nước táo trong buổi tiệc gia đình,0
Ba người bạn,ăn,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Một cậu thanh niên,nhìn,nước ép dưa hấu trước rạp chiếu phim,0
Một người,nói,thuốc này chữa được bệnh ung thư gan,1
Ba người bạn,cầm,nước ép dưa hấu khi đi dã ngoại,0
Anh nhân viên,ăn,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Nhóm bạn,cầm,nước lọc trong phòng khách,0
Ba người bạn,quảng cáo,nước ép dưa hấu trước rạp chiếu phim,0
Cô gái,mở,bourbon thương hiệu lớn trong khi leo núi,1
Người đàn ông,ăn,vodka trong video quảng bá khi điều khiển thuyền,1
Thầy pháp,ban,phép lành cho người mua hàng,1
Một cậu thanh niên,nhìn,tequila có logo trên livestream quảng bá,1
Cặp đôi,rót,nước ngọt trong buổi tiệc gia đình,0
Cô nhân viên,say,vodka có logo trong clip quảng cáo,1
Bạn nữ,rót,bia nhẹ khi đi dã ngoại,0
Nhóm sinh viên,nhìn,bia nhẹ khi xem bóng đá,0
Chàng trai,đưa,nước ép dưa hấu trong công viên,0
Anh nhân viên,say,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Cặp đôi,đưa,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Bạn nữ,cụng,cà phê trong công viên,0
Nhóm bạn trẻ,nhìn,cà phê ở quán cà phê,0
Ba người bạn,giơ,bia không logo khi đi dã ngoại,0
Một nhóm thanh niên,cụng,nước ép cam trong buổi tiệc gia đình,0
Người phụ nữ,cầm,sinh tố dâu khi xem bóng đá,0
Đôi bạn trẻ,say,nước lọc khi xem bóng đá,0
Nhóm bạn trẻ,nâng,nước ép cam trong phòng khách,0
Ba người bạn,ăn,vodka có logo trong lúc lái ô tô,1
Một nhóm thanh niên,say,nước ép cam trong buổi tiệc gia đình,0
Một cậu thanh niên,quảng cáo,rượu gin có thương hiệu trên livestream quảng bá,1
Một người,nói,thuốc này giúp tăng trí nhớ vĩnh viễn,1
Một người đàn ông,uống,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Thanh niên,nhìn,sinh tố dâu trong buổi picnic,0
Đôi bạn trẻ,rót,cà phê trước rạp chiếu phim,0
Người,bị ném,ly nước vào mặt,1
Chàng trai,rót,rượu gin có thương hiệu trong khi leo núi,1
Thanh niên,say,nước táo khi xem bóng đá,0
Một cậu thanh niên,đưa,tequila có logo khi điều khiển thuyền,1
Người,đang khoe,biểu đồ “đầu tư ổn định”,1
Chàng trai,nhấp,nước táo khi đi dã ngoại,0
Thanh niên,uống,bia nhẹ trong buổi tiệc gia đình,0
Người phụ nữ,cụng,nước ép cam trước rạp chiếu phim,0
Cô gái,đang làm,món nước ép cà chua và dứa,0
Một người đàn ông,ăn,mojito không cồn bên bãi biển,0
Nhóm bạn,mở,bia nhẹ ở quán cà phê,0
Cặp đôi,nhấp,nước khoáng trong buổi picnic,0
Cặp đôi,uống,bia nhẹ bên bãi biển,0
Nhóm bạn trẻ,nhìn,vodka có logo trong clip quảng cáo,1
Một người đàn ông,cầm,rượu gin có thương hiệu khi điều khiển thuyền,1
Chàng trai,nhìn,mojito không cồn trong phòng khách,0
Đôi bạn trẻ,rót,sinh tố dâu trước rạp chiếu phim,0
Người phụ nữ,say,tequila có logo khi điều khiển thuyền,1
Một người đàn ông,quảng cáo,cà phê trong buổi picnic,0
Một nhóm thanh niên,cụng,bia lon ở quán cà phê,0
Cô nhân viên,nâng,bourbon thương hiệu lớn trong clip quảng cáo,1
